Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level,,,
Q1,fail,fail,fail,fail,fail,fail,fail,correct,fail,correct,2,analytic geometry,high school,,,
Q2,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,statistics,elementary school,,,
Q3,correct,correct,fail,correct,fail,correct,correct,correct,fail,correct,7,statistics,high school,,,
Q4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school,,,
Q5,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,statistics,elementary school,,,
Q6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school,,,
Q7,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,arithmetic,elementary school,,,
Q8,correct,fail,correct,fail,correct,fail,fail,correct,fail,correct,5,plane geometry,high school,,,
Q9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school,,,
Q10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school,,,
Q11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school,,,
Q12,fail,fail,fail,fail,fail,correct,correct,fail,fail,fail,2,analytic geometry,high school,,,
Q13,correct,correct,correct,correct,correct,correct,fail,correct,fail,fail,7,plane geometry,high school,,,
Q14,fail,correct,fail,correct,fail,correct,correct,correct,fail,fail,5,analytic geometry,high school,,,
Q15,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,analytic geometry,high school,,,
Q16,correct,correct,correct,correct,correct,correct,correct,fail,fail,fail,7,algebra,high school,,,
Q17,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school,,,
Q18,fail,fail,correct,correct,fail,fail,correct,correct,correct,fail,5,plane geometry,elementary school,,,
Q19,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,statistics,elementary school,,,
Q20,fail,correct,correct,fail,correct,correct,fail,correct,correct,correct,7,statistics,elementary school,,,
Q21,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,arithmetic,elementary school,,,
Q22,fail,correct,correct,fail,fail,fail,correct,correct,correct,fail,5,arithmetic,elementary school,,,
Q23,fail,fail,fail,fail,correct,correct,correct,fail,fail,correct,4,analytic geometry,high school,,,
Q24,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,plane geometry,high school,,,
Q25,correct,correct,fail,correct,correct,correct,fail,correct,fail,correct,7,arithmetic,elementary school,,,
Q26,correct,correct,correct,correct,fail,correct,correct,correct,fail,correct,8,plane geometry,high school,,,
Q27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school,,,
Q28,correct,correct,correct,correct,correct,fail,correct,correct,fail,correct,8,plane geometry,high school,,,
Q29,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school,,,
Q30,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school,,,
Q31,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school,,,
Q32,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school,,,
Q33,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate,,,
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school,,,
Q35,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school,,,
Q36,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school,,,
Q37,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school,,,
Q38,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school,,,
Q39,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate,,,
Q40,correct,correct,fail,correct,fail,correct,fail,correct,correct,fail,6,algebra,high school,,,
Q41,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school,,,
Q42,fail,fail,fail,fail,fail,correct,correct,fail,correct,fail,3,graph theory,undergraduate,,,
Q43,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,plane geometry,high school,,,
Q44,fail,correct,correct,fail,correct,correct,correct,fail,fail,correct,6,plane geometry,high school,,,
Q45,correct,correct,correct,correct,fail,correct,correct,correct,correct,correct,9,plane geometry,high school,,,
Q46,correct,correct,fail,fail,fail,fail,fail,fail,fail,correct,3,analytic geometry,high school,,,
Q47,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school,,,
Q48,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school,,,
Q49,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school,,,
Q50,correct,correct,correct,correct,correct,fail,correct,fail,correct,correct,8,analytic geometry,high school,,,
Q51,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school,,,
Q52,correct,correct,correct,fail,fail,correct,correct,fail,correct,correct,7,analytic geometry,undergraduate,,,
Q53,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,plane geometry,high school,,,
Q54,fail,correct,correct,correct,correct,correct,fail,fail,fail,correct,6,analytic geometry,high school,,,
Q55,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school,,,
Q56,correct,correct,fail,fail,correct,correct,correct,correct,fail,correct,7,analytic geometry,high school,,,
Q57,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,plane geometry,high school,,,
Q58,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,analytic     geometry,high school,,,
Q59,correct,correct,correct,correct,correct,fail,correct,fail,correct,correct,8,arithmetic,high school,,,
Q60,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school,,,
Q61,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school,,,
Q62,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,plane geometry,elementary school,,,
Q63,fail,fail,correct,correct,correct,correct,correct,correct,fail,correct,7,algebra,high school,,,
Q64,fail,fail,correct,fail,fail,correct,fail,fail,correct,fail,3,analytic geometry,undergraduate,,,
Q65,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school,,,
Q66,correct,correct,correct,correct,correct,correct,fail,correct,correct,correct,9,plane geometry,high school,,,
Q67,fail,correct,fail,fail,correct,correct,correct,correct,fail,correct,6,plane geometry,high school,,,
