Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q1,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q2,fail,correct,correct,fail,correct,correct,correct,correct,correct,correct,8,statistics,elementary school
Q3,fail,fail,fail,fail,fail,correct,fail,fail,correct,correct,3,statistics,high school
Q4,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,statistics,high school
Q5,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,statistics,elementary school
Q6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q7,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,arithmetic,elementary school
Q8,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q11,correct,correct,fail,fail,correct,correct,fail,correct,fail,correct,6,plane geometry,high school
Q12,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,analytic geometry,high school
Q13,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q14,fail,fail,correct,fail,fail,fail,correct,fail,correct,fail,3,analytic geometry,high school
Q15,correct,fail,fail,fail,correct,correct,correct,fail,correct,fail,5,analytic geometry,high school
Q16,correct,fail,fail,fail,correct,fail,fail,fail,fail,fail,2,algebra,high school
Q17,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q18,fail,fail,correct,fail,fail,fail,fail,correct,correct,fail,3,plane geometry,elementary school
Q19,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q20,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,statistics,elementary school
